Visitor/Neutral,PTS,Home/Neutral,PTS
Philadelphia 76ers,87,Boston Celtics,105
Oklahoma City Thunder,100,Golden State Warriors,108
Milwaukee Bucks,113,Charlotte Hornets,112
Brooklyn Nets,100,Detroit Pistons,103
Memphis Grizzlies,83,Indiana Pacers,111
Miami Heat,101,Orlando Magic,104
Atlanta Hawks,107,New York Knicks,126
Cleveland Cavaliers,104,Toronto Raptors,116
New Orleans Pelicans,131,Houston Rockets,112
Minnesota Timberwolves,108,San Antonio Spurs,112
Utah Jazz,123,Sacramento Kings,117
Denver Nuggets,107,Los Angeles Clippers,98
Dallas Mavericks,100,Phoenix Suns,121
Chicago Bulls,108,Philadelphia 76ers,127
Miami Heat,113,Washington Wizards,112
Los Angeles Lakers,119,Portland Trail Blazers,128
Charlotte Hornets,120,Orlando Magic,88
New York Knicks,105,Brooklyn Nets,107
Atlanta Hawks,117,Memphis Grizzlies,131
Cleveland Cavaliers,123,Minnesota Timberwolves,131
Sacramento Kings,129,New Orleans Pelicans,149
Boston Celtics,101,Toronto Raptors,113
Indiana Pacers,101,Milwaukee Bucks,118
Oklahoma City Thunder,92,Los Angeles Clippers,108
Golden State Warriors,124,Utah Jazz,123
Brooklyn Nets,112,Indiana Pacers,132
Toronto Raptors,117,Washington Wizards,113
Boston Celtics,103,New York Knicks,101
Orlando Magic,115,Philadelphia 76ers,116
Detroit Pistons,118,Chicago Bulls,116
Charlotte Hornets,113,Miami Heat,112
Minnesota Timberwolves,136,Dallas Mavericks,140
Phoenix Suns,91,Denver Nuggets,119
San Antonio Spurs,108,Portland Trail Blazers,121
Houston Rockets,124,Los Angeles Lakers,115
Atlanta Hawks,133,Cleveland Cavaliers,111
Sacramento Kings,131,Oklahoma City Thunder,120
Golden State Warriors,98,Denver Nuggets,100
Houston Rockets,112,Los Angeles Clippers,115
Orlando Magic,93,Boston Celtics,90
Charlotte Hornets,106,Toronto Raptors,127
New York Knicks,113,Milwaukee Bucks,124
Indiana Pacers,91,Minnesota Timberwolves,101
Chicago Bulls,109,Dallas Mavericks,115
Memphis Grizzlies,92,Utah Jazz,84
Washington Wizards,125,Portland Trail Blazers,124
Phoenix Suns,103,Golden State Warriors,123
San Antonio Spurs,143,Los Angeles Lakers,142
Philadelphia 76ers,132,Detroit Pistons,133
Los Angeles Clippers,109,New Orleans Pelicans,116
Sacramento Kings,112,Denver Nuggets,126
Dallas Mavericks,104,Atlanta Hawks,111
Brooklyn Nets,102,Cleveland Cavaliers,86
New York Knicks,87,Miami Heat,110
Minnesota Timberwolves,105,Toronto Raptors,112
Charlotte Hornets,110,Chicago Bulls,112
Utah Jazz,100,Houston Rockets,89
Indiana Pacers,116,San Antonio Spurs,96
Philadelphia 76ers,108,Milwaukee Bucks,123
Los Angeles Lakers,131,Phoenix Suns,113
Memphis Grizzlies,92,Sacramento Kings,97
Washington Wizards,122,Golden State Warriors,144
Cleveland Cavaliers,103,Detroit Pistons,110
Portland Trail Blazers,128,Orlando Magic,114
Boston Celtics,101,Oklahoma City Thunder,95
Denver Nuggets,114,Los Angeles Lakers,121
Chicago Bulls,106,Charlotte Hornets,135
Golden State Warriors,128,New York Knicks,100
Dallas Mavericks,107,Toronto Raptors,116
Los Angeles Clippers,133,Houston Rockets,113
Milwaukee Bucks,125,Minnesota Timberwolves,95
Brooklyn Nets,115,New Orleans Pelicans,117
Washington Wizards,112,Sacramento Kings,116
Boston Celtics,109,Detroit Pistons,89
Utah Jazz,132,New Orleans Pelicans,111
Chicago Bulls,97,Atlanta Hawks,85
Indiana Pacers,119,Cleveland Cavaliers,107
Charlotte Hornets,103,Philadelphia 76ers,105
Phoenix Suns,96,Memphis Grizzlies,117
Portland Trail Blazers,111,Miami Heat,120
Orlando Magic,91,Milwaukee Bucks,113
Los Angeles Lakers,106,San Antonio Spurs,110
Golden State Warriors,120,Brooklyn Nets,114
Utah Jazz,113,Dallas Mavericks,104
Phoenix Suns,110,Oklahoma City Thunder,117
Washington Wizards,104,Los Angeles Clippers,136
Portland Trail Blazers,103,Indiana Pacers,93
Atlanta Hawks,92,Philadelphia 76ers,113
Sacramento Kings,123,Miami Heat,113
Brooklyn Nets,96,New York Knicks,115
Golden State Warriors,149,Chicago Bulls,124
Toronto Raptors,109,Milwaukee Bucks,124
Los Angeles Lakers,120,Minnesota Timberwolves,124
Dallas Mavericks,108,San Antonio Spurs,113
New Orleans Pelicans,111,Denver Nuggets,116
Miami Heat,113,Charlotte Hornets,125
Atlanta Hawks,114,Cleveland Cavaliers,136
Sacramento Kings,107,Orlando Magic,99
Detroit Pistons,105,Boston Celtics,108
Philadelphia 76ers,112,Toronto Raptors,129
Portland Trail Blazers,104,Houston Rockets,85
Washington Wizards,95,Memphis Grizzlies,107
Los Angeles Clippers,110,Oklahoma City Thunder,128
Detroit Pistons,119,Brooklyn Nets,120
Denver Nuggets,108,Chicago Bulls,107
Utah Jazz,125,Minnesota Timberwolves,128
Indiana Pacers,107,New York Knicks,101
New Orleans Pelicans,121,Golden State Warriors,131
Dallas Mavericks,113,Los Angeles Lakers,114
San Antonio Spurs,120,Phoenix Suns,90
Oklahoma City Thunder,111,Charlotte Hornets,107
Denver Nuggets,110,Cleveland Cavaliers,91
Los Angeles Clippers,113,Philadelphia 76ers,122
Sacramento Kings,146,Atlanta Hawks,115
Milwaukee Bucks,113,Boston Celtics,117
New Orleans Pelicans,119,Portland Trail Blazers,132
Los Angeles Clippers,120,Orlando Magic,95
Houston Rockets,119,Brooklyn Nets,111
Indiana Pacers,107,Chicago Bulls,105
Oklahoma City Thunder,134,Washington Wizards,111
New York Knicks,118,Dallas Mavericks,106
Memphis Grizzlies,110,Utah Jazz,100
Toronto Raptors,107,Phoenix Suns,98
Minnesota Timberwolves,99,Golden State Warriors,116
Detroit Pistons,99,Philadelphia 76ers,109
Cleveland Cavaliers,94,Charlotte Hornets,126
Boston Celtics,101,Indiana Pacers,102
Miami Heat,118,Atlanta Hawks,123
Houston Rockets,96,Chicago Bulls,88
New Orleans Pelicans,95,San Antonio Spurs,109
Utah Jazz,88,Denver Nuggets,103
Los Angeles Lakers,114,Portland Trail Blazers,110
Sacramento Kings,109,Milwaukee Bucks,144
Philadelphia 76ers,97,Brooklyn Nets,122
New York Knicks,95,Washington Wizards,108
Orlando Magic,117,San Antonio Spurs,110
Memphis Grizzlies,100,Phoenix Suns,102
Minnesota Timberwolves,81,Portland Trail Blazers,111
Toronto Raptors,121,Los Angeles Lakers,107
Miami Heat,120,Detroit Pistons,115
Houston Rockets,98,Indiana Pacers,94
Cleveland Cavaliers,100,Orlando Magic,102
Chicago Bulls,116,New York Knicks,115
New Orleans Pelicans,116,Oklahoma City Thunder,122
Boston Celtics,107,Denver Nuggets,115
Toronto Raptors,124,Utah Jazz,111
Memphis Grizzlies,101,Golden State Warriors,117
Minnesota Timberwolves,109,Los Angeles Clippers,120
Atlanta Hawks,102,Charlotte Hornets,113
Washington Wizards,100,Dallas Mavericks,119
Brooklyn Nets,104,Phoenix Suns,82
Milwaukee Bucks,103,Portland Trail Blazers,118
Oklahoma City Thunder,95,Cleveland Cavaliers,86
Detroit Pistons,103,Orlando Magic,96
New York Knicks,112,Atlanta Hawks,107
San Antonio Spurs,88,Miami Heat,95
Philadelphia 76ers,100,Indiana Pacers,94
Denver Nuggets,87,Memphis Grizzlies,89
Chicago Bulls,98,New Orleans Pelicans,107
Dallas Mavericks,102,Utah Jazz,117
Toronto Raptors,114,Sacramento Kings,105
Minnesota Timberwolves,110,Los Angeles Lakers,114
Houston Rockets,80,Oklahoma City Thunder,98
Boston Celtics,116,Phoenix Suns,109
Los Angeles Clippers,105,Portland Trail Blazers,116
Milwaukee Bucks,134,Golden State Warriors,111
Washington Wizards,108,Orlando Magic,117
Charlotte Hornets,132,Philadelphia 76ers,133
Detroit Pistons,124,Atlanta Hawks,109
Indiana Pacers,110,Miami Heat,102
Brooklyn Nets,112,Denver Nuggets,110
Boston Celtics,115,Utah Jazz,123
Minnesota Timberwolves,110,Sacramento Kings,121
New York Knicks,112,Toronto Raptors,128
Milwaukee Bucks,126,Los Angeles Clippers,128
Phoenix Suns,99,New Orleans Pelicans,119
Cleveland Cavaliers,98,Chicago Bulls,99
Philadelphia 76ers,106,Memphis Grizzlies,112
Washington Wizards,116,Miami Heat,110
Brooklyn Nets,100,Golden State Warriors,116
Houston Rockets,89,San Antonio Spurs,96
Oklahoma City Thunder,96,Dallas Mavericks,111
Los Angeles Lakers,101,Sacramento Kings,86
Charlotte Hornets,113,Detroit Pistons,103
Indiana Pacers,103,Houston Rockets,115
Orlando Magic,115,New York Knicks,89
Milwaukee Bucks,121,Denver Nuggets,114
Boston Celtics,94,Portland Trail Blazers,100
Atlanta Hawks,106,Los Angeles Lakers,107
Orlando Magic,109,Washington Wizards,117
Philadelphia 76ers,124,Miami Heat,114
New Orleans Pelicans,126,Toronto Raptors,110
Dallas Mavericks,103,Chicago Bulls,98
Utah Jazz,96,Memphis Grizzlies,88
Brooklyn Nets,113,Minnesota Timberwolves,120
Phoenix Suns,101,Oklahoma City Thunder,118
San Antonio Spurs,99,Sacramento Kings,104
Golden State Warriors,116,Los Angeles Clippers,121
Charlotte Hornets,89,Cleveland Cavaliers,113
Houston Rockets,109,Denver Nuggets,99
Atlanta Hawks,103,Golden State Warriors,110
Philadelphia 76ers,106,Orlando Magic,111
Cleveland Cavaliers,95,Washington Wizards,119
Chicago Bulls,82,Boston Celtics,111
Miami Heat,120,Brooklyn Nets,107
Detroit Pistons,106,Toronto Raptors,104
Memphis Grizzlies,116,Milwaukee Bucks,113
New Orleans Pelicans,100,Minnesota Timberwolves,107
New York Knicks,103,Oklahoma City Thunder,128
Utah Jazz,68,Dallas Mavericks,118
San Antonio Spurs,96,Phoenix Suns,116
Portland Trail Blazers,117,Los Angeles Lakers,126
Golden State Warriors,86,Houston Rockets,107
Atlanta Hawks,93,Denver Nuggets,138
San Antonio Spurs,111,Los Angeles Clippers,116
Toronto Raptors,116,Boston Celtics,123
Miami Heat,91,Indiana Pacers,99
Utah Jazz,107,Philadelphia 76ers,113
Brooklyn Nets,115,Washington Wizards,104
Sacramento Kings,104,Memphis Grizzlies,112
Portland Trail Blazers,96,Minnesota Timberwolves,112
New York Knicks,124,New Orleans Pelicans,129
Chicago Bulls,104,Milwaukee Bucks,123
Los Angeles Clippers,127,Brooklyn Nets,119
Philadelphia 76ers,122,Charlotte Hornets,119
Atlanta Hawks,89,Indiana Pacers,97
Denver Nuggets,115,New Orleans Pelicans,125
Los Angeles Lakers,117,Orlando Magic,130
Utah Jazz,98,Boston Celtics,86
Toronto Raptors,122,Chicago Bulls,83
Sacramento Kings,112,Houston Rockets,132
Golden State Warriors,109,Dallas Mavericks,112
Oklahoma City Thunder,110,Phoenix Suns,100
Memphis Grizzlies,100,Minnesota Timberwolves,87
Los Angeles Lakers,113,Miami Heat,97
New York Knicks,117,Orlando Magic,131
Portland Trail Blazers,119,Washington Wizards,109
Golden State Warriors,92,San Antonio Spurs,104
Boston Celtics,112,Charlotte Hornets,117
Cleveland Cavaliers,102,Detroit Pistons,113
Utah Jazz,94,Indiana Pacers,121
Phoenix Suns,114,Philadelphia 76ers,119
Los Angeles Clippers,127,Atlanta Hawks,119
Dallas Mavericks,88,Memphis Grizzlies,98
Denver Nuggets,98,Milwaukee Bucks,104
San Antonio Spurs,126,New Orleans Pelicans,140
Oklahoma City Thunder,113,Sacramento Kings,117
Toronto Raptors,93,Orlando Magic,91
Los Angeles Clippers,118,Washington Wizards,125
Brooklyn Nets,104,Miami Heat,92
Portland Trail Blazers,118,New York Knicks,114
Indiana Pacers,109,Charlotte Hornets,127
