PLAYER,TEAM,FGM,3PM,FTM,REB,AST,TO,STL,BLK
Aaron Brooks,Minnesota Timberwolves,21,7,3,13,16,7,5,0
Aaron Gordon,Orlando Magic,229,73,107,272,71,60,29,25
Abdel Nader,Boston Celtics,15,7,1,20,7,8,5,4
Adreian Payne,Orlando Magic,7,2,5,9,0,2,2,0
Al Horford,Boston Celtics,217,55,47,315,212,79,24,41
Al Jefferson,Indiana Pacers,43,0,12,60,11,12,7,10
Al-Farouq Aminu,Portland Trail Blazers,102,57,21,197,31,32,27,21
Alec Burks,Utah Jazz,126,35,83,130,44,38,32,7
Alec Peters,Phoenix Suns,3,2,0,3,3,1,0,2
Alex Abrines,Oklahoma City Thunder,54,37,19,63,15,18,21,2
Alex Caruso,Los Angeles Lakers,6,1,1,10,11,8,2,1
Alex Len,Phoenix Suns,115,0,89,310,45,49,13,35
Alex Poythress,Indiana Pacers,6,3,0,11,1,2,3,1
Alfonzo McKinnie,Toronto Raptors,4,1,2,5,1,1,1,1
Allen Crabbe,Brooklyn Nets,149,93,63,165,63,47,26,12
Amir Johnson,Philadelphia 76ers,73,3,24,171,51,31,25,24
Andre Drummond,Detroit Pistons,217,0,113,572,143,107,55,46
Andre Iguodala,Golden State Warriors,80,16,32,142,129,41,32,23
Andre Roberson,Oklahoma City Thunder,77,8,9,162,39,29,36,31
Andrew Bogut,Los Angeles Lakers,17,0,2,78,15,19,4,13
Andrew Harrison,Memphis Grizzlies,81,23,68,76,82,38,26,14
Andrew Wiggins,Minnesota Timberwolves,298,62,122,181,76,66,53,28
Ante Zizic,Cleveland Cavaliers,4,0,5,13,1,2,0,4
Anthony Davis,New Orleans Pelicans,335,24,218,359,82,69,37,72
Anthony Tolliver,Detroit Pistons,76,56,37,97,38,32,15,9
Antonio Blakeney,Chicago Bulls,28,8,14,20,7,8,2,0
Antonius Cleveland,Atlanta Hawks,4,0,2,10,2,2,6,4
Aron Baynes,Boston Celtics,111,0,42,233,40,42,14,27
Arron Afflalo,Orlando Magic,38,14,16,42,17,11,2,5
Austin Rivers,Los Angeles Clippers,183,81,59,67,115,60,40,8
Avery Bradley,Los Angeles Clippers,193,62,59,78,74,76,38,6
Bam Adebayo,Miami Heat,83,0,57,159,38,29,19,21
Ben McLemore,Memphis Grizzlies,58,19,15,48,20,21,14,6
Ben Simmons,Philadelphia 76ers,270,0,103,312,279,150,73,36
Bismack Biyombo,Orlando Magic,88,0,55,245,22,43,8,52
Blake Griffin,Detroit Pistons,188,49,140,192,130,73,20,9
Boban Marjanovic,Los Angeles Clippers,31,0,31,37,11,17,2,5
Bobby Brown,Houston Rockets,19,11,1,7,11,9,4,0
Bobby Portis,Chicago Bulls,155,29,60,208,53,37,14,10
Bogdan Bogdanovic,Sacramento Kings,158,52,51,96,107,61,36,10
Bojan Bogdanovic,Indiana Pacers,205,76,70,129,58,52,26,2
Bradley Beal,Washington Wizards,363,97,175,184,158,86,47,19
Brandan Wright,Houston Rockets,50,0,20,85,9,6,12,24
Brandon Ingram,Los Angeles Lakers,238,24,138,210,130,104,33,29
Brandon Paul,San Antonio Spurs,43,14,18,54,33,21,24,5
Briante Weber,Memphis Grizzlies,9,4,4,18,13,7,10,3
Brice Johnson,Memphis Grizzlies,7,0,2,13,1,4,6,2
Brook Lopez,Los Angeles Lakers,153,46,57,134,54,54,17,49
Bruno Caboclo,Sacramento Kings,0,0,0,1,1,0,1,0
Bryn Forbes,San Antonio Spurs,127,56,14,59,44,25,19,2
Buddy Hield,Sacramento Kings,183,82,35,136,64,59,36,6
C.J. Williams,Los Angeles Clippers,67,21,11,43,24,16,24,13
CJ McCollum,Portland Trail Blazers,337,98,113,172,139,79,41,15
CJ Miles,Toronto Raptors,107,79,34,62,20,15,24,11
Caleb Swanigan,Portland Trail Blazers,15,1,8,36,9,11,5,3
Caris LeVert,Brooklyn Nets,176,48,75,147,168,99,51,14
Carmelo Anthony,Oklahoma City Thunder,269,88,95,236,61,57,28,24
Cedi Osman,Cleveland Cavaliers,33,10,10,59,11,11,9,1
Chandler Parsons,Memphis Grizzlies,87,39,15,74,53,29,13,9
Channing Frye,Los Angeles Lakers,59,20,7,77,23,10,12,8
Charles Cooke,New Orleans Pelicans,2,1,1,0,1,1,1,0
Cheick Diallo,New Orleans Pelicans,25,0,11,45,5,8,1,1
Chris McCullough,Washington Wizards,15,1,5,20,1,0,0,3
Chris Paul,Houston Rockets,152,62,81,136,221,62,45,10
Clint Capela,Houston Rockets,221,0,72,403,44,62,24,64
Cody Zeller,Charlotte Hornets,47,1,42,105,16,21,9,21
Cole Aldrich,Minnesota Timberwolves,3,0,1,4,1,1,2,0
Corey Brewer,Oklahoma City Thunder,53,7,25,57,29,29,30,7
Cory Joseph,Indiana Pacers,125,37,38,119,131,43,36,11
