team,location
Atlanta Hawks,east
Boston Celtics,east
Brooklyn Nets,east
Charlotte Hornets,east
Chicago Bulls,east
Cleveland Cavaliers,east
Detroit Pistons,east
Indiana Pacers,east
Miami Heat,east
Milwaukee Bucks,east
New York Knicks,east
Orlando Magic,east
Philadelphia 76ers,east
Toronto Raptors,east
Washington Wizards,east
Dallas Mavericks,west
Denver Nuggets,west
Golden State Warriors,west
Houston Rockets,west
Los Angeles Clippers,west
Los Angeles Lakers,west
Memphis Grizzlies,west
Minnesota Timberwolves,west
New Orleans Pelicans,west
Oklahoma City Thunder,west
Phoenix Suns,west
Portland Trail Blazers,west
Sacramento Kings,west
San Antonio Spurs,west
Utah Jazz,west
